100: Base
101: BOP
102: DAE.Lexer
103: DAE.Syntax
104: DAE.Runtime
105: DAE.Compiler
106: DAE.Server
107: DAE.Language
108: DAE.Machine
109: DAE.Parser
110: DAE.Scan
111: DAE.Conveyor
112: DAE.Streams
113: DAE.Schema
114: DAE.Device
115: DAE.Catalog
116: DAE.Storage
117: DAE.Index
118: DAEClient
121: DAE.ClientException
122: DAE.Client.ControlsException
123: DAE.Client.ProviderException
124: DAE.Dataphoria
125: DAE.Device.ApplicationTransaction
126: DAE.Device.SQLException
127: DAE.Connection.ConnectionException
128: DAE.Design.DesignException
129: DAE.Client.COM.COMClientException
130: DAE.Store
200: Frontend.Server.ServerException
201: Frontend.Client.ClientException
202: Frontend.Device.FrontendDeviceException
203: DAE.Device.SimpleDeviceException
204: Frontend.Client.Web.WebClientException
205: Frontend.Client.Windows.WindowsClientException
206: Frontend.Client.Web.WebDAC.ControlsException
207: Frontend.Client.Silverlight.SilverlightClientException
