name;id;indid;doampg;ioampg;oampgtrips;status2;ipgtrips;first;root;distribution;usagecnt;segment;status;maxrowsperpage;minlen;maxlen;maxirow;keycnt;keys1;keys2;soid;csid;base_partition;fill_factor;res_page_gap;exp_rowsize;keys3;identitygap
sysobjects;1;1;2;9;0;0;0;1;8;0;0;0;18;0;64;148;9;1;00000200380400010004000000000000;[NULL];0;0;1;0;0;0;[NULL];[NULL]
ncsysobjects;1;2;0;17;0;0;0;16;16;0;1;0;2;0;9;44;48;3;00000100271EFFFFFFFF00000000000000000300340200010002000000000000000000002D0600030006000000000000;[NULL];104;1;[NULL];0;0;[NULL];[NULL];[NULL]
sysindexes;2;1;26;33;0;0;0;24;32;0;0;0;18;0;58;881;11;2;0000020038040001000400000000000000000300340200050002000000000000;[NULL];0;0;1;0;0;0;[NULL];[NULL]
syscolumns;3;1;51;57;0;0;0;48;56;0;0;0;18;0;24;371;12;3;000001003804000100040000000000000000020034020005000200000000000000000300300100070008000000000000;[NULL];0;0;1;0;0;0;[NULL];[NULL]
systypes;4;1;65;73;0;0;0;64;72;0;0;0;18;0;18;328;40;1;00000900271EFFFFFFFF000000000000;[NULL];104;1;1;0;0;0;[NULL];[NULL]
ncsystypes;4;2;0;81;0;0;0;80;80;0;0;0;2;0;9;9;13;2;00000200340200010004000000000000000000002D0600030006000000000000;[NULL];0;0;[NULL];0;0;[NULL];[NULL];[NULL]
sysprocedures;5;1;89;97;0;0;0;88;96;0;0;0;18;0;14;280;15;4;000002003804000100040000000000000000050034020005000C0000000000000000010034020007000200000000000000000300340200090008000000000000;[NULL];0;0;1;0;0;0;[NULL];[NULL]
syscomments;6;1;112;40;0;0;0;113;41;0;0;1;146;0;14;538;15;5;000001003804000100040000000000000000020034020005000200000000000000000700300100070009000000000000000003003001000800080000000000000000040034020009000A000000000000;[NULL];0;0;1;0;0;0;[NULL];[NULL]
syssegments;7;0;121;0;0;0;0;120;120;0;0;0;0;0;4;42;0;0;[NULL];[NULL];0;0;1;0;0;0;[NULL];[NULL]
syslogs;8;0;0;0;0;0;0;5126;660;0;0;2;0;0;12;2000;0;0;0000008800000000000014060001000000000000000000000000965200F62D2D00000000000000000000000A00000000000000000000000000000000002B01FE000500000000175C000A0000243D6C4D000000000000965200F635996A647465737400000000000000000000000000000000000000000000000500000000000000180005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001900000003000600000000000000000000000000000000000000000001000010980000035C00000000000000830000000000000083000000000000000000000000000000;0000000000000027FF000100000000047400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;1;0;0;0;[NULL];[NULL]
sysprotects;9;1;257;152;0;0;0;258;153;0;0;0;146;0;10;50;20;5;0000010038040001000400000000000000000300300100050008000000000000000006082602FFFFFFFE0000000000000000020034020006000200000000000000000400300100080009000000000000;[NULL];0;0;1;0;0;0;[NULL];[NULL]
sysusers;10;1;168;560;0;0;0;472;568;0;0;0;144;0;8;300;7;1;81020100340200010002000000000000;[NULL];0;0;1;0;0;0;[NULL];[NULL]
ncsysusers1;10;2;0;576;0;0;0;584;584;0;0;0;130;0;7;42;46;2;810E0400271EFFFFFFFF000000000000810600002D0600010006000000000000;[NULL];104;1;[NULL];0;0;0;[NULL];[NULL]
ncsysusers2;10;3;0;600;0;0;0;608;608;0;0;0;130;0;9;9;13;2;81020200340200010004000000000000810600002D0600030006000000000000;[NULL];0;0;[NULL];0;0;0;[NULL];[NULL]
sysalternates;11;1;193;201;0;0;0;192;200;0;0;0;18;0;6;6;7;1;00000100340200010002000000000000;[NULL];0;0;1;0;0;0;[NULL];[NULL]
sysdepends;12;1;217;225;0;0;0;216;224;0;0;0;19;0;22;22;21;6;000001003804000100040000000000000000020034020005000200000000000000000300380400070008000000000000000004003402000B000C000000000000000005003402000D000E000000000000000006003402000F0010000000000000;[NULL];0;0;1;0;0;0;[NULL];[NULL]
syskeys;13;1;233;241;0;0;0;232;240;0;0;0;16;0;10;61;9;1;00000100380400010004000000000000;[NULL];0;0;1;0;0;0;[NULL];[NULL]
sysgams;14;0;0;0;0;0;0;128;135;0;0;0;0;0;0;0;0;0;[NULL];[NULL];0;0;1;0;0;0;[NULL];[NULL]
csysusermessages;15;1;248;208;0;0;0;249;209;0;0;1;144;0;8;275;9;1;00000100380400010002000000000000;[NULL];0;0;1;0;0;0;[NULL];[NULL]
ncsysusermessages;15;2;0;136;0;0;0;137;137;0;0;1;130;0;11;18;22;3;00000100380400010002000000000000000004082602FFFFFFFE000000000000000000002D0600050000000000000000;[NULL];0;0;[NULL];0;0;[NULL];[NULL];[NULL]
csysreferences;16;1;272;104;0;0;0;273;105;0;0;1;144;0;60;126;44;2;0000030038040001000800000000000000002A08271EFFFFFFFF000000000000;[NULL];104;1;1;0;0;0;[NULL];[NULL]
ncsysreferences;16;2;0;264;0;0;0;265;265;0;0;1;128;0;11;46;50;3;0000020038040001000400000000000000002A08271EFFFFFFFF000000000000000000002D0600050000000000000000;[NULL];104;1;[NULL];0;0;[NULL];[NULL];[NULL]
nc2sysreferences;16;3;0;280;0;0;0;281;281;0;0;1;128;0;13;48;52;4;0000040038040001000C0000000000000000010034020005000200000000000000002B08271EFFFFFFFE000000000000000000002D0600070000000000000000;[NULL];104;1;[NULL];0;0;[NULL];[NULL];[NULL]
csysconstraints;17;1;304;296;0;0;0;305;297;0;0;0;144;0;24;24;10;2;0000040038040001000800000000000000000100300100050002000000000000;[NULL];0;0;1;0;0;0;[NULL];[NULL]
ncsysconstraints;17;2;0;288;0;0;0;289;289;0;0;0;130;0;11;11;15;2;00000300380400010004000000000000000000002D0600050000000000000000;[NULL];0;0;[NULL];0;0;[NULL];[NULL];[NULL]
csysthresholds;18;1;336;328;0;0;0;337;329;0;0;0;146;0;10;531;11;2;0000010034020001000200000000000000000200380400030004000000000000;[NULL];0;0;1;0;0;0;[NULL];[NULL]
csysroles;19;1;352;344;0;0;0;353;345;0;0;0;146;0;12;12;7;1;00000200340200010004000000000000;[NULL];0;0;1;0;0;0;[NULL];[NULL]
csysattributes;21;1;368;360;0;0;0;369;361;0;0;0;146;0;8;616;66;8;0000010034020001000200000000000000000200340200030004000000000000000003002F0200050006000000000000000005082604FFFFFFFE000000000000000006082604FFFEFFFD000000000000000007082604FFFDFFFC000000000000000008082604FFFCFFFB00000000000000000408271EFFFBFFFF000000000000;[NULL];104;1;1;0;0;0;[NULL];[NULL]
ncsysattributes;21;2;0;592;0;0;0;616;616;0;0;0;0;0;9;64;68;7;810203002F0200010006000000000000810405082604FFFFFFFE000000000000810406082604FFFEFFFD000000000000810007082604FFFDFFFC000000000000810008082604FFFCFFFB00000000000081000408271EFFFBFFFF000000000000810600002D0600030000000000000000;[NULL];104;1;[NULL];0;0;[NULL];[NULL];[NULL]
tsysattributes;21;255;0;144;0;0;0;145;145;0;31024;0;0;0;0;0;0;0;[NULL];[NULL];0;0;[NULL];[NULL];0;[NULL];[NULL];[NULL]
csyspartitions;22;1;392;384;0;0;0;393;385;0;0;0;146;0;52;52;13;2;0000020038040001000400000000000000000300380400050008000000000000;[NULL];0;0;1;0;0;0;[NULL];[NULL]
systabstats;23;0;376;0;0;0;0;400;400;0;0;0;128;0;144;144;0;0;[NULL];[NULL];0;0;1;0;0;1;[NULL];[NULL]
csystabstats;23;2;0;408;0;512;0;417;416;0;0;0;130;0;13;13;13;3;8104020038040001000800000000000081020100340200050006000000000000000000002D0600070000000000000000;[NULL];0;0;[NULL];0;0;[NULL];[NULL];[NULL]
sysstatistics;24;0;424;0;0;0;0;425;425;0;0;0;0;0;26;1964;0;0;[NULL];[NULL];0;0;1;0;0;0;[NULL];0
csysstatistics;24;2;0;432;0;512;0;441;440;0;0;0;130;0;18;119;119;6;0000020038040001000800000000000000000100340200050006000000000000000007082564FFFFFFFF000000000000000005003001000700180000000000000000030038040008000C000000000000000000002D06000C0000000000000000;[NULL];0;0;[NULL];0;0;[NULL];[NULL];[NULL]
sysxtypes;25;0;456;0;0;0;0;457;457;0;0;0;0;0;24;576;0;0;[NULL];[NULL];0;0;1;0;0;0;[NULL];0
csysxtypes;25;2;0;480;0;512;0;489;488;0;0;0;130;0;11;11;11;2;00000200380400010008000000000000000000002D0600050000000000000000;[NULL];0;0;[NULL];0;0;[NULL];[NULL];[NULL]
