xactid;op
000002940008;30
000014060001;0
000014060002;17
000014060001;54
000014060001;54
000014060001;25
000014060001;9
000014060001;9
000014060001;9
000014060001;9
000014060001;9
000014060001;9
000014060001;30
00001406000D;17
00001406000E;0
00001406000E;65
00001406000E;65
00001406000E;30
000014060012;0
000014060012;8
000014060012;8
000014060012;5
000014060012;4
000014060012;7
000014060012;7
000014060012;30
00001406001A;17
00001406001B;0
00001406001B;14
00001406001B;4
00001406001B;4
00001406001B;4
00001406001B;4
00001406001B;7
00001406001B;41
00001406001B;39
00001406001B;13
00001406001B;13
00001406001B;4
00001406001B;7
00001406001B;63
00001406001B;71
00001406001B;30
00001407000E;0
00001407000E;77
00001407000E;12
00001407000E;12
00001407000E;12
00001407000E;5
00001407000E;5
00001407000E;5
00001407000E;8
00001407000E;5
00001407000E;12
00001407000E;5
00001407000E;8
00001407000E;21
00001407000E;72
00001407000E;66
00001407000E;30
000014080009;0
000014080009;14
000014080009;4
000014080009;4
000014080009;4
000014080009;4
000014080009;7
000014080009;41
000014080009;39
000014080009;13
000014080009;13
000014080009;4
000014080009;7
000014080009;63
000014080009;71
000014080009;51
000014080009;52
000014080009;30
000014090006;0
000014090006;41
000014090006;39
000014090006;13
000014090006;77
000014090006;41
000014090006;39
000014090006;13
000014090006;7
000014090006;68
000014090006;72
000014090006;65
000014090006;71
000014090006;51
000014090006;52
000014090006;52
000014090006;52
000014090006;9
000014090006;9
000014090006;9
000014090006;5
000014090006;8
000014090006;21
000014090006;13
000014090006;4
000014090006;7
000014090006;51
000014090006;52
000014090006;25
000014090006;25
000014090006;25
000014090006;9
000014090006;9
000014090006;9
000014090006;30
0000140A0014;0
0000140A0014;4
0000140A0014;30
0000140A0017;0
0000140A0017;65
0000140A0017;65
0000140A0017;65
0000140A0017;30
0000140B0004;0
0000140B0004;65
0000140B0004;65
0000140B0004;30
0000140B0008;0
0000140B0008;65
0000140B0008;65
0000140B0008;30
0000140B000C;0
0000140B000C;41
0000140B000C;39
0000140B000C;13
0000140B000C;63
0000140B000C;71
0000140B000C;9
0000140B000C;9
0000140B000C;9
0000140B000C;4
0000140B000C;51
0000140B000C;52
0000140B000C;30
0000140C0009;0
0000140C0009;65
0000140C0009;65
0000140C0009;30
0000140C000D;0
0000140C000D;41
0000140C000D;39
0000140C000D;13
0000140C000D;63
0000140C000D;71
0000140C000D;9
0000140C000D;9
0000140C000D;9
0000140C000D;4
0000140C000D;51
0000140C000D;52
0000140C000D;30
0000140D0007;0
0000140D0007;65
0000140D0007;30
0000140D000A;17
0000140D000B;0
0000140D000B;14
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;13
0000140D000B;4
0000140D000B;7
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;13
0000140D000B;4
0000140D000B;7
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;13
0000140D000B;4
0000140D000B;7
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;13
0000140D000B;4
0000140D000B;7
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;13
0000140D000B;4
0000140D000B;7
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;4
0000140D000B;13
0000140D000B;4
0000140D000B;7
0000140D000B;4
0000140D000B;4
