name;id;uid;type;userstat;sysstat;indexdel;schemacnt;sysstat2;crdate;expdate;deltrig;instrig;updtrig;seltrig;ckfirst;cache;audflags;objspare;versionts;loginame
sysobjects;1;1;S ;0;113;0;3;0;1900-01-01 00:00:00;1900-01-01 00:00:00;0;0;0;0;0;0;[NULL];0;[NULL];[NULL]
sysindexes;2;1;S ;0;81;0;6;0;1900-01-01 00:00:00;1900-01-01 00:00:00;0;0;0;0;0;0;[NULL];0;[NULL];[NULL]
syscolumns;3;1;S ;0;81;0;7;0;1900-01-01 00:00:00;1900-01-01 00:00:00;0;0;0;0;0;0;[NULL];0;[NULL];[NULL]
systypes;4;1;S ;0;113;0;6;0;1900-01-01 00:00:00;1900-01-01 00:00:00;0;0;0;0;0;0;[NULL];0;[NULL];[NULL]
sysprocedures;5;1;S ;0;81;0;2;0;1900-01-01 00:00:00;1900-01-01 00:00:00;0;0;0;0;0;0;[NULL];0;[NULL];[NULL]
syscomments;6;1;S ;0;81;1;3;0;1900-01-01 00:00:00;1900-01-01 00:00:00;0;0;0;0;0;0;[NULL];0;[NULL];[NULL]
syssegments;7;1;S ;0;1;0;0;0;1900-01-01 00:00:00;1900-01-01 00:00:00;0;0;0;0;0;0;[NULL];0;[NULL];[NULL]
syslogs;8;1;S ;0;1;0;0;512;1900-01-01 00:00:00;1900-01-01 00:00:00;0;0;0;0;0;0;[NULL];0;[NULL];[NULL]
sysprotects;9;1;S ;0;81;1;1;0;1900-01-01 00:00:00;1900-01-01 00:00:00;0;0;0;0;0;0;[NULL];0;[NULL];[NULL]
sysusers;10;1;S ;0;113;1;0;0;1900-01-01 00:00:00;1900-01-01 00:00:00;0;0;0;0;0;0;[NULL];0;[NULL];[NULL]
sysalternates;11;1;S ;0;81;0;0;512;1900-01-01 00:00:00;1900-01-01 00:00:00;0;0;0;0;0;0;[NULL];0;[NULL];[NULL]
sysdepends;12;1;S ;0;81;0;0;512;1900-01-01 00:00:00;1900-01-01 00:00:00;0;0;0;0;0;0;[NULL];0;[NULL];[NULL]
