type;id;sequence;status;number;version
2;352004285;0;128;0;12000
2;352004285;1;128;0;12000
2;352004285;2;128;0;12000
2;352004285;3;128;0;12000
2;352004285;4;128;0;12000
2;352004285;5;128;0;12000
2;352004285;6;128;0;12000
2;352004285;7;128;0;12000
2;352004285;8;128;0;12000
2;352004285;9;128;0;12000
2;352004285;10;128;0;12000
2;352004285;11;128;0;12000
2;352004285;12;128;0;12000
2;352004285;13;128;0;12000
2;352004285;14;128;0;12000
2;352004285;15;128;0;12000
2;352004285;16;128;0;12000
2;352004285;17;128;0;12000
2;352004285;18;128;0;12000
2;352004285;19;128;0;12000
2;352004285;20;128;0;12000
2;352004285;21;128;0;12000
2;352004285;22;128;0;12000
2;352004285;23;128;0;12000
2;352004285;24;128;0;12000
2;352004285;25;128;0;12000
2;352004285;26;128;0;12000
2;352004285;27;128;0;12000
2;352004285;28;128;0;12000
2;368004342;0;128;0;12000
2;368004342;1;128;0;12000
2;368004342;2;128;0;12000
2;368004342;3;128;0;12000
2;368004342;4;128;0;12000
2;368004342;5;128;0;12000
2;368004342;6;128;0;12000
2;368004342;7;128;0;12000
2;368004342;8;128;0;12000
2;368004342;9;128;0;12000
2;368004342;10;128;0;12000
2;368004342;11;128;0;12000
2;368004342;12;128;0;12000
2;368004342;13;128;0;12000
2;368004342;14;128;0;12000
2;368004342;15;128;0;12000
2;368004342;16;128;0;12000
2;368004342;17;128;0;12000
2;368004342;18;128;0;12000
2;368004342;19;128;0;12000
2;368004342;20;128;0;12000
2;368004342;21;128;0;12000
2;368004342;22;128;0;12000
2;368004342;23;128;0;12000
2;368004342;24;128;0;12000
2;368004342;25;128;0;12000
2;368004342;26;128;0;12000
2;368004342;27;128;0;12000
2;368004342;28;128;0;12000
2;368004342;29;128;0;12000
2;368004342;30;128;0;12000
2;368004342;31;128;0;12000
2;368004342;32;128;0;12000
2;368004342;33;128;0;12000
2;368004342;34;128;0;12000
2;368004342;35;128;0;12000
2;368004342;36;128;0;12000
2;368004342;37;128;0;12000
2;368004342;38;128;0;12000
2;368004342;39;128;0;12000
2;368004342;40;128;0;12000
2;368004342;41;128;0;12000
2;368004342;42;128;0;12000
2;384004399;0;128;0;12000
2;384004399;1;128;0;12000
2;384004399;2;128;0;12000
2;384004399;3;128;0;12000
2;384004399;4;128;0;12000
2;384004399;5;128;0;12000
2;384004399;6;128;0;12000
2;384004399;7;128;0;12000
2;384004399;8;128;0;12000
2;384004399;9;128;0;12000
2;384004399;10;128;0;12000
2;384004399;11;128;0;12000
2;384004399;12;128;0;12000
2;384004399;13;128;0;12000
2;384004399;14;128;0;12000
2;384004399;15;128;0;12000
2;384004399;16;128;0;12000
2;384004399;17;128;0;12000
2;384004399;18;128;0;12000
2;384004399;19;128;0;12000
2;384004399;20;128;0;12000
2;384004399;21;128;0;12000
2;384004399;22;128;0;12000
2;384004399;23;128;0;12000
2;384004399;24;128;0;12000
2;384004399;25;128;0;12000
2;384004399;26;128;0;12000
2;400004456;0;128;0;12000
2;400004456;1;128;0;12000
2;400004456;2;128;0;12000
2;400004456;3;128;0;12000
2;400004456;4;128;0;12000
2;400004456;5;128;0;12000
2;400004456;6;128;0;12000
2;400004456;7;128;0;12000
2;400004456;8;128;0;12000
2;400004456;9;128;0;12000
2;400004456;10;128;0;12000
2;400004456;11;128;0;12000
2;400004456;12;128;0;12000
2;400004456;13;128;0;12000
2;400004456;14;128;0;12000
2;400004456;15;128;0;12000
2;400004456;16;128;0;12000
2;400004456;17;128;0;12000
2;400004456;18;128;0;12000
2;400004456;19;128;0;12000
2;400004456;20;128;0;12000
2;400004456;21;128;0;12000
2;400004456;22;128;0;12000
2;400004456;23;128;0;12000
2;400004456;24;128;0;12000
2;400004456;25;128;0;12000
2;400004456;26;128;0;12000
2;400004456;27;128;0;12000
2;400004456;28;128;0;12000
2;400004456;29;128;0;12000
2;400004456;30;128;0;12000
2;400004456;31;128;0;12000
2;400004456;32;128;0;12000
2;400004456;33;128;0;12000
2;400004456;34;128;0;12000
2;400004456;35;128;0;12000
2;400004456;36;128;0;12000
2;400004456;37;128;0;12000
2;400004456;38;128;0;12000
2;416004513;0;128;0;12000
2;416004513;1;128;0;12000
2;416004513;2;128;0;12000
2;416004513;3;128;0;12000
2;416004513;4;128;0;12000
2;416004513;5;128;0;12000
2;416004513;6;128;0;12000
2;416004513;7;128;0;12000
2;416004513;8;128;0;12000
2;416004513;9;128;0;12000
2;416004513;10;128;0;12000
2;416004513;11;128;0;12000
2;416004513;12;128;0;12000
2;416004513;13;128;0;12000
2;416004513;14;128;0;12000
2;416004513;15;128;0;12000
2;416004513;16;128;0;12000
2;416004513;17;128;0;12000
2;416004513;18;128;0;12000
2;416004513;19;128;0;12000
2;416004513;20;128;0;12000
2;416004513;21;128;0;12000
2;416004513;22;128;0;12000
2;416004513;23;128;0;12000
2;416004513;24;128;0;12000
2;416004513;25;128;0;12000
2;416004513;26;128;0;12000
2;416004513;27;128;0;12000
2;416004513;28;128;0;12000
2;416004513;29;128;0;12000
2;416004513;30;128;0;12000
2;416004513;31;128;0;12000
2;416004513;32;128;0;12000
2;416004513;33;128;0;12000
2;416004513;34;128;0;12000
2;416004513;35;128;0;12000
2;416004513;36;128;0;12000
2;416004513;37;128;0;12000
2;416004513;38;128;0;12000
2;416004513;39;128;0;12000
2;416004513;40;128;0;12000
