indid;id;activestatid;indexheight;leafcnt;pagecnt;rowcnt;forwrowcnt;delrowcnt;dpagecrcnt;ipagecrcnt;drowcrcnt;oamapgcnt;extent0pgcnt;datarowsize;leafrowsize;status;spare1;spare2;rslastoam;rslastpage;frlastoam;frlastpage;conopt_thld;spare3;emptypgcnt;spare4
0;23;0;0;0;4;14;0;0;0;0;0;2;0;144;0;0;0;0;0;0;0;0;15;0;1;0
0;24;0;0;0;1;9;0;0;0;0;0;2;0;995;0;0;0;0;0;0;0;0;15;0;0;0
2;24;0;1;1;0;0;0;0;0;0;0;0;0;0;68,5;0;0;0;0;0;0;0;0;0;0;0
1;1;0;1;0;2;22;0;0;0;0;0;2;0;90,5;0;1;0;0;0;0;0;0;0;0;0;0
2;1;0;0;1;1;8;0;0;1;0;13;0;0;90,5;26,5;1;0;0;0;0;0;0;0;0;0;0
1;2;0;1;0;6;28;0;0;0;0;0;2;0;338,5;0;1;0;0;0;0;0;0;0;0;0;0
1;3;0;1;0;9;139;0;0;1;0;0;3;0;190;0;1;0;0;0;0;0;0;0;0;0;0
1;4;0;1;0;1;29;0;0;0;0;0;0;0;168;0;1;0;0;0;0;0;0;0;0;0;0
2;4;0;0;1;1;28;0;0;5,6;0,2;28;0;0;168;9;1;0;0;0;0;0;0;0;0;0;0
1;5;0;1;0;40;268;0;0;6;0;0;3;0;147;0;1;0;0;0;0;0;0;0;0;0;0
1;6;0;1;0;5;28;0;0;0,2;0;0;2;0;276;0;1;0;0;0;0;0;0;0;0;0;0
0;7;0;0;0;1;1;0;0;0,2;0;0;0;0;23;0;1;0;0;0;0;0;0;0;0;0;0
0;8;0;0;0;16;128;0;0;3,2;0;0;0;0;1006;0;1;0;0;0;0;0;0;0;0;0;0
1;9;0;1;0;1;21;0;0;0;0;0;0;0;30;0;1;0;0;0;0;0;0;0;0;0;0
0;27;0;0;0;1;0;0;0;0;0;0;2;0;156,5;0;0;0;0;0;0;0;0;15;0;1;0
2;10;0;0;1;0;0;0;0;1;1;1;0;0;0;21,5;0;0;0;0;0;0;0;0;0;0;0
3;10;0;0;1;0;0;0;0;1;1;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
1;11;0;1;0;1;1;0;0;0,2;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0
1;12;0;1;0;1;15;0;0;0,2;0;0;0;0;22;0;1;0;0;0;0;0;0;0;0;0;0
1;13;0;1;0;1;38;0;0;0;0;0;0;0;35,5;0;1;0;0;0;0;0;0;0;0;0;0
0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1;15;0;1;0;1;0;0;0;0,2;0;0;0;0;141,5;0;1;0;0;0;0;0;0;0;0;0;0
2;15;0;0;1;1;0;0;0;0;0,2;0;0;0;141,5;14,5;1;0;0;0;0;0;0;0;0;0;0
1;16;0;1;0;1;2;0;0;0,2;0;0;0;0;93;0;1;0;0;0;0;0;0;0;0;0;0
2;16;0;0;1;1;0;0;0;0;0;0;0;0;93;28,5;1;0;0;0;0;0;0;0;0;0;0
3;16;0;0;1;1;0;0;0;0;0;0;0;0;93;30,5;1;0;0;0;0;0;0;0;0;0;0
1;17;0;1;0;1;2;0;0;0,2;0;0;0;0;24;0;1;0;0;0;0;0;0;0;0;0;0
2;17;0;0;1;1;0;0;0;0;0;0;0;0;24;11;1;0;0;0;0;0;0;0;0;0;0
1;18;0;1;0;1;0;0;0;0;0;0;0;0;270,5;0;1;0;0;0;0;0;0;0;0;0;0
1;19;0;1;0;1;6;0;0;0;0;0;0;0;12;0;1;0;0;0;0;0;0;0;0;0;0
1;21;0;1;0;3;46;0;0;0;0;0;2;0;312;0;1;0;0;0;0;0;0;0;0;0;0
2;21;0;0;1;0;0;0;0;1;1;27;0;0;0;23,1785714285714;0;0;0;0;0;0;0;0;0;0;0
1;22;0;1;0;1;0;0;0;0,2;0;0;0;0;52;0;1;0;0;0;0;0;0;0;0;0;0
2;23;0;1;1;2;0;0;0;0;0;6;0;0;52;13;1;0;0;0;0;0;0;0;0;0;0
0;25;0;0;0;1;0;0;0;0;0;0;2;0;300;0;0;0;0;0;0;0;0;15;0;1;0
2;25;0;1;1;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;1;0
3;25;0;1;1;0;0;0;0;0;0;0;0;0;0;136;0;0;0;0;0;0;0;0;0;1;0
0;26;0;0;0;1;0;0;0;0;0;0;2;1;38;0;0;0;0;0;0;0;0;15;0;1;0
2;26;0;1;1;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;1;0
3;26;0;1;1;0;0;0;0;0;0;0;0;0;0;22,5;0;0;0;0;0;0;0;0;0;1;0
1;10;0;1;0;1;10;0;0;1;0;0;3;0;22,6;0;0;0;0;0;0;0;0;0;0;0;0
2;27;0;1;1;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;1;0
3;27;0;1;1;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;1;0
1;240003886;0;1;0;1;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0
1;272004000;0;1;0;1;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0
1;304004114;0;1;0;1;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0
2;272004000;0;0;1;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0
